compound,compound_by_sent,median_cmpd,median_neg,median_neu,median_pos,name,negative,negative_by_sent,neutral,neutral_by_sent,num_reviews,positive,positive_by_sent,range_cmpd_max,range_cmpd_min,range_neg_max,range_neg_min,range_neu_max,range_neu_min,range_pos_max,range_pos_min,rating
0.231,0.2085,0.0,0.0,0.836,0.077,Blim’s,0.0444,0.0417,0.7864,0.8056,38,0.1692,0.1527,0.9678,-0.7738,1.0,0.0,1.0,0.0,0.831,0.0,3.5
0.4873,0.4873,0.7717,0.0,0.579,0.233,Socca Restaurant,0.0888,0.0888,0.672,0.672,1,0.2392,0.2392,0.9371,-0.1531,0.444,0.0,1.0,0.458,0.542,0.0,5.0
0.1668,0.1439,0.0,0.0,0.829,0.0,Mocca,0.0666,0.0657,0.7726,0.791,381,0.1581,0.1405,0.9684,-0.8976,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.1814,0.1813,0.0,0.0,0.814,0.082,Estia,0.0609,0.0529,0.7673,0.7788,156,0.162,0.157,0.9485,-0.876,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.0,0.0,0.0,0.0,0.0,0.0,Gray Derby Restaurant,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2885,-0.0747,0.0,0.0,0.793,0.0,La Terreza Bar & Restaurant,0.1408,0.0978,0.7559,0.7701,2,0.1032,0.1322,0.7915,-0.8805,0.605,0.0,1.0,0.0,1.0,0.0,3.0
0.2153,0.2097,0.1779,0.0,0.802,0.122,Source,0.0579,0.0555,0.7648,0.778,1134,0.1688,0.1632,0.9384,-0.9528,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.3121,0.3121,0.296,0.0,0.905,0.095,Kowloon Restaurant,0.0,0.0,0.8738,0.8738,1,0.1262,0.1262,0.7706,0.0,0.0,0.0,1.0,0.622,0.378,0.0,4.0
0.2202,0.2114,0.0772,0.0,0.797,0.1095,Hong Sing Restaurant,0.0678,0.0603,0.7571,0.771,73,0.1718,0.165,0.9565,-0.8807,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.3305,0.255,0.2023,0.0,0.81,0.141,Charles Nob Hill,0.0422,0.0506,0.7091,0.753,5,0.2488,0.1965,0.8939,-0.4215,0.348,0.0,1.0,0.0,1.0,0.0,4.5
0.2798,0.2414,0.2023,0.0,0.7745,0.142,Cafe Gratitude,0.0526,0.0566,0.7456,0.7581,848,0.199,0.1832,0.9674,-0.8439,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.2371,0.2177,0.0516,0.0,0.826,0.098,Bong Su,0.0437,0.0439,0.7852,0.7893,519,0.1692,0.164,0.9587,-0.8845,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.2441,0.2348,0.2144,0.0,0.821,0.11,Dago Marys Restaurant,0.0439,0.0445,0.8159,0.8144,8,0.1402,0.1411,0.9169,-0.8055,0.41,0.0,1.0,0.328,0.672,0.0,5.0
0.2209,0.1973,0.0258,0.0,0.815,0.104,Hukilau,0.0556,0.0557,0.7785,0.7877,677,0.1624,0.1528,0.9657,-0.7974,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.0971,0.0778,0.0,0.0,0.897,0.0,Carousel,0.064,0.0766,0.8354,0.8262,9,0.1006,0.0973,0.8268,-0.7003,1.0,0.0,1.0,0.0,0.555,0.0,3.0
0.0241,0.0505,0.0,0.0,0.8305,0.0775,Nippon Sushi,0.0708,0.068,0.8357,0.8325,3,0.0935,0.0995,0.6369,-0.7269,0.318,0.0,1.0,0.625,0.375,0.0,3.5
0.328,0.3007,0.33375,0.0,0.8075000000000001,0.155,Les Clos,0.0274,0.028,0.7625,0.7818,188,0.2085,0.1882,0.9559,-0.8338,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.3118,0.2971,0.3804,0.0,0.771,0.175,Enrico’s,0.0414,0.0414,0.7396,0.7564,243,0.2143,0.1997,0.974,-0.8519,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.2454,0.214,0.128,0.0,0.821,0.111,BDK Restaurant,0.045,0.0477,0.759,0.7817,122,0.1879,0.1669,0.9805,-0.8779,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.3168,0.2764,0.3182,0.0,0.777,0.167,Annabelle’s,0.041,0.0435,0.7317,0.7517,628,0.226,0.2022,0.9678,-0.7277,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.3033,0.2573,0.26654999999999995,0.0,0.806,0.1355,Luella,0.0327,0.036,0.7702,0.7776,736,0.1908,0.1801,0.9705,-0.8225,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.2955,0.2485,0.2263,0.0,0.806,0.1345,Chez Spencer,0.0379,0.0415,0.759,0.7784,766,0.2006,0.1776,0.97,-0.9371,1.0,0.0,1.0,0.0,1.0,0.0,4.0
